id,path
127,80 73 77 22 29 30 5
303,39 113 22 29 30 5
909,39 113 208 200 201 5
660,72 73 77 22 23 171
472,92 29 115 116 143 144
73,55 22 23 59 9 26
511,153 22 23 68
236,69 22 22 23 68
621,13 81 82 23 23 164 90
470,92 29 115 116 143 149
172,87 88 89 86 23 78 74 75
524,21 22 23 23 23 23 23 23 23 23 66
305,69 22 22 29 115 116 30 51 54
43,43 14 15 16
390,13 81 82 23 128
501,125 88 142 115 88 94 95 122 124
261,109 110 111 15 70
171,87 88 89 86 23 78 74 79
381,31 14 58 22 23 59 15 19
233,67 22 23 66
892,21 22 23 23 23 114 37
996,92 212 115 88 215 180 181 186 59 15 19
911,13 81 82 23 117
893,21 22 23 23 23 114 36
374,31 14 58 29 115 116 30 23 53
670,87 88 89 86 23 78 74 66
41,43 14 15 40
42,43 14 15 41
65,7 8 58 59 15 19
531,13 81 82 23 155
510,153 22 23 16
192,69 22 23 59 98
331,93 118 119 82 16
329,93 118 119 82 19
490,32 113 22 81 118 119 89 96
405,69 22 22 23 131
525,21 22 23 23 23 23 23 23 23 23 65
532,13 81 82 23 51 54
55,21 22 23 51 54
393,129 22 81 82 16
122,72 73 77 22 23 53
790,31 81 187 188 89 96
138,44 45 46 15 56
262,109 110 111 15 16
871,21 22 23 164 90
24,31 14 17 22 29 30 5
80,44 45 46 15 41
851,43 14 58 22 185 180 181 186 59 98
778,31 14 45 50 85 86 5
260,109 110 111 15 19
694,125 88 94 115 116 30 23 78 90
123,72 73 77 22 23 66
984,32 113 208 200 180 181 186 23 53
881,62 22 185 186 5
658,31 103 22 81 82 16
216,102 22 103 104 16
164,55 22 23 23 66
46,44 45 46 15 19
165,55 22 23 23 65
577,43 14 58 29 30 5
219,21 22 23 104 23 59 98
67,12 8 58 59 15 56
188,43 14 15 56
227,67 22 23 68
700,69 73 163 22 29 115 88 89 91
821,102 194 195 116 30 59 98
471,92 29 115 116 143 19
938,214 215 216 82 23 53
8,7 8 17 18 15 19
542,12 8 58 59 15 70
