id,node_type
185,topStatement|statement|expressionStatement UP
136,expression|newExpr UP
161,formalParameter|variableInitializer DOWN
148,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|RequireOnce DOWN
157,constantInititalizer UP
177,blockStatement UP
15,actualArguments|arguments DOWN
211,expressionList|expression|string DOWN
3,innerStatement|statement|globalStatement DOWN
73,squareCurlyExpression UP
106,formalParameterList UP
1,Global UP
156,Minus UP
116,innerStatementList DOWN
53,assignmentOperator|Eq DOWN
42,Comma UP
206,actualArgument|expression|constant|literalConstant|stringConstant|Label DOWN
59,expression|chain|chainOrigin|functionCall DOWN
159,constantInititalizer|constant|literalConstant|numericConstant|Decimal DOWN
25,Ampersand DOWN
131,expression|constant|literalConstant|stringConstant|Label DOWN
165,BooleanOr DOWN
4,globalVar|VarName DOWN
18,chain|chainOrigin|functionCall DOWN
144,chain|chainOrigin|chainBase|keyedVariable|VarName DOWN
27,Eq UP
176,Return DOWN
61,actualArgument|expression|chain DOWN
96,OpenCurlyBracket DOWN
122,elseStatement DOWN
141,Foreach UP
57,actualArgument|expression|chain|chainOrigin|chainBase|keyedVariable|VarName UP
22,expression UP
66,expression|string|SingleQuoteString DOWN
19,OpenRoundBracket DOWN
171,assignmentOperator|Concaequal DOWN
112,functionCallName|qualifiedNamespaceName|namespaceNameList|identifier|Array DOWN
26,qualifiedStaticTypeRef|qualifiedNamespaceName|namespaceNameList|identifier|Label DOWN
217,While DOWN
85,innerStatementList|innerStatement|statement|expressionStatement UP
72,OpenSquareBracket UP
119,statement|ifStatement DOWN
